loan_id,credit_score,annual_income,dti_ratio,loan_amount,loan_term_months,employment_years,delinq_2yrs,open_accounts,revolving_utilization_pct,home_ownership,purpose,region,origination_year,is_default,risk_grade
L100173,671,70200.0,12.9,6300.0,60,0.6,0,7,22.8,RENT,home_improvement,Midwest,2023,0,C (Prime)
L100174,608,72800.0,6.5,6900.0,36,1.1,0,11,8.2,MORTGAGE,debt_consolidation,Northeast,2025,1,D (Near-Prime)
L100175,601,72300.0,3.2,9500.0,60,1.9,0,12,27.8,MORTGAGE,debt_consolidation,Northeast,2022,1,D (Near-Prime)
L100176,767,65500.0,14.8,25100.0,36,5.0,0,10,11.0,MORTGAGE,debt_consolidation,South,2023,0,A (Super-Prime)
L100177,647,42600.0,24.5,5000.0,60,2.2,0,3,55.3,MORTGAGE,home_improvement,West,2023,0,D (Near-Prime)
L100178,699,81400.0,9.8,38100.0,36,10.4,1,5,32.3,RENT,credit_card,South,2022,0,C (Prime)
L100179,678,62400.0,22.6,20800.0,36,1.9,0,5,53.8,MORTGAGE,small_business,Northeast,2024,0,C (Prime)
L100180,651,77800.0,22.9,7100.0,36,4.7,0,10,27.9,MORTGAGE,debt_consolidation,Northeast,2023,0,C (Prime)
L100181,647,61700.0,20.3,3800.0,60,0.1,0,14,38.8,MORTGAGE,debt_consolidation,Northeast,2025,1,D (Near-Prime)
L100182,721,47000.0,30.3,21300.0,60,2.3,1,8,33.8,OWN,small_business,South,2025,0,B (Prime+)
L100183,660,52100.0,14.7,15400.0,36,12.7,0,5,32.2,RENT,other,Northeast,2025,0,C (Prime)
L100184,670,71100.0,14.0,8200.0,36,0.2,0,9,18.3,MORTGAGE,credit_card,South,2024,0,C (Prime)
L100185,681,87300.0,19.3,9700.0,36,6.6,1,9,16.7,MORTGAGE,credit_card,South,2023,0,C (Prime)
L100186,756,21400.0,27.7,13300.0,36,2.8,1,13,40.9,OWN,debt_consolidation,Midwest,2022,0,A (Super-Prime)
L100187,724,28900.0,2.9,9100.0,36,2.5,0,10,29.8,MORTGAGE,home_improvement,Northeast,2025,0,B (Prime+)
L100188,705,24500.0,0.6,15100.0,36,2.6,0,7,28.6,RENT,debt_consolidation,Midwest,2025,0,B (Prime+)
L100189,643,41300.0,13.8,14400.0,36,5.9,0,6,51.8,RENT,debt_consolidation,South,2025,0,D (Near-Prime)
L100190,590,38700.0,16.3,7800.0,60,1.9,0,9,82.0,RENT,small_business,South,2025,0,D (Near-Prime)
L100191,742,58400.0,29.7,11600.0,36,1.6,0,8,46.7,RENT,debt_consolidation,South,2025,0,B (Prime+)
L100192,743,46000.0,6.0,16500.0,36,2.5,0,4,47.2,OWN,small_business,South,2025,0,B (Prime+)
L100193,671,100200.0,8.4,4900.0,60,9.5,0,11,24.1,RENT,other,Midwest,2024,0,C (Prime)
L100194,715,39600.0,15.2,30800.0,60,3.1,0,6,4.4,OWN,debt_consolidation,West,2024,0,B (Prime+)
L100195,731,37900.0,11.2,16200.0,60,2.4,0,9,14.6,MORTGAGE,debt_consolidation,West,2024,0,B (Prime+)
L100196,734,35900.0,2.9,3600.0,36,0.6,0,18,11.0,OWN,small_business,South,2023,0,B (Prime+)
L100197,740,46100.0,25.9,9000.0,60,1.1,0,7,55.6,RENT,debt_consolidation,South,2024,0,B (Prime+)
L100198,650,57400.0,19.4,9700.0,36,11.4,0,6,42.8,OWN,debt_consolidation,Northeast,2025,1,D (Near-Prime)
L100199,778,42200.0,18.6,18500.0,60,1.9,2,13,64.2,OWN,medical,South,2024,0,A (Super-Prime)
L100200,599,34200.0,6.5,15900.0,60,12.8,1,7,45.0,RENT,debt_consolidation,South,2025,1,D (Near-Prime)
L100201,736,27700.0,18.8,5900.0,60,3.2,0,11,10.0,RENT,medical,West,2024,0,B (Prime+)
L100202,712,57900.0,3.1,32500.0,36,1.2,0,4,32.4,MORTGAGE,small_business,Northeast,2023,0,B (Prime+)
L100203,737,40900.0,6.6,10400.0,60,7.8,0,10,58.7,RENT,auto,Northeast,2023,0,B (Prime+)
L100204,802,33200.0,19.4,10500.0,36,12.3,0,5,35.5,MORTGAGE,credit_card,West,2022,0,A (Super-Prime)
L100205,776,46600.0,12.8,6100.0,60,5.1,0,11,19.3,RENT,credit_card,West,2025,1,A (Super-Prime)
L100206,606,62100.0,4.7,50000.0,60,3.3,0,12,53.9,MORTGAGE,auto,South,2022,1,D (Near-Prime)
L100207,570,140400.0,21.2,24700.0,36,5.5,0,11,60.3,MORTGAGE,medical,Northeast,2023,0,E (Subprime)
L100208,733,114900.0,12.2,11900.0,36,2.3,0,12,18.5,MORTGAGE,other,Northeast,2024,0,B (Prime+)
L100209,614,34700.0,10.7,10500.0,36,13.4,2,7,13.3,MORTGAGE,small_business,Northeast,2024,0,D (Near-Prime)
L100210,679,42800.0,15.0,28700.0,60,4.1,0,11,9.2,RENT,home_improvement,West,2024,0,C (Prime)
L100211,735,20900.0,4.9,12600.0,60,7.9,0,8,18.5,RENT,other,South,2022,0,B (Prime+)
L100212,573,20800.0,10.7,4900.0,36,23.8,0,11,29.8,MORTGAGE,small_business,Northeast,2025,0,E (Subprime)
L100213,543,22000.0,19.4,6600.0,36,4.8,1,7,55.8,RENT,credit_card,South,2025,1,E (Subprime)
L100214,697,81600.0,9.0,15400.0,36,4.1,0,4,68.9,RENT,credit_card,South,2024,0,C (Prime)
L100215,683,49200.0,12.1,21400.0,36,10.7,0,4,24.9,RENT,home_improvement,West,2023,0,C (Prime)
L100216,664,26300.0,7.0,24400.0,36,2.6,0,8,62.5,RENT,medical,Northeast,2024,1,C (Prime)
L100217,683,38400.0,20.6,10900.0,36,1.5,1,9,60.7,MORTGAGE,medical,South,2024,0,C (Prime)
L100218,624,41600.0,18.0,6800.0,36,7.5,0,11,32.4,RENT,debt_consolidation,Midwest,2023,0,D (Near-Prime)
L100219,582,38600.0,0.8,5900.0,60,7.9,0,5,75.6,RENT,debt_consolidation,Northeast,2024,0,D (Near-Prime)
L100220,669,106200.0,6.9,6700.0,60,1.6,0,6,62.0,RENT,credit_card,Midwest,2024,0,C (Prime)
